title,cast,director,genres,keywords,title,overview,tagline
Easy Virtue,"['Jessica Biel', 'Ben Barnes', 'Kristin Scott Thomas', 'Colin Firth', 'Kimberley Nixon']",Stephan Elliott,"['Comedy', 'Romance']",[],Easy Virtue,"A young Englishman marries a glamorous American. When he brings her home to meet the parents, she arrives like a blast from the future - blowing their entrenched British stuffiness out the window.",Let's Misbehave!
Caravans,"['Anthony Quinn', ""Jennifer O'Neill"", 'Michael Sarrazin', 'Christopher Lee', 'Joseph Cotten']",James Fargo,"['Action', 'Adventure', 'Drama', 'Romance']",[],Caravans,"This epic adventure-drama based on James Michener's best-selling novel concerns a young American embassy official who is sent into the Middle-Eastern desert to find the missing daughter of a US Senator. The young woman has left her husband, a Colonel in the Shadom - she was his number two wife - and has opted for the lifestyle of a nomadic tribe. When the diplomat locates the girl he joins the caravan and attempts to persuade the girl to return.",
Mr. Turner,"['Timothy Spall', 'Dorothy Atkinson', 'Marion Bailey', 'Paul Jesson', 'Lesley Manville']",Mike Leigh,"['History', 'Drama']",['painter'],Mr. Turner,"Eccentric British painter J.M.W. Turner  lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper bears an unrequited love for him.",
Wild Grass,"['André Dussollier', 'Sabine Azéma', 'Emmanuelle Devos', 'Mathieu Amalric', 'Anne Consigny']",Alain Resnais,"['Drama', 'Romance']","['whiskey', 'experimental film', 'wallet', 'cult director']",Les herbes folles,"Marguerite loses her wallet, and it's found by Georges, a seemingly happy head of family. As he looks through the wallet and examines the photos of Marguerite, he finds he's fascinated with her and her life, and soon his curiosity about her becomes an obsession.",
Amen.,"['Ulrich Tukur', 'Mathieu Kassovitz', 'Ulrich Mühe', 'Michel Duchaussoy', 'Marcel Iureș']",Costa-Gavras,"['Drama', 'History']","['vatican', 'pope', 'concentration camp', 'holocaust', 'schutzstaffel', 'nazis', 'nazi germany', 'doctor', 'conscience', 'catholicism', 'euthanasia']",Amen.,"The film ""Amen."" examines the links between the Vatican and Nazi Germany. The central character is Kurt Gerstein, a member of the Institute for Hygiene of the Waffen-SS who is horrified by what he sees in the death camps. Moreover, he is shocked to learn that the process he used to purify water for his troops, by using zyklon, served as a basis to kill people in gas chambers.",Two Men   Two Worlds   One Cause
Reign of Assassins,"['Michelle Yeoh', 'Jung Woo-sung', 'Wang Xue-qi', 'Barbie Hsu', 'Shawn Yue']",John Woo,"['History', 'Action']","['martial arts', 'sword fight', 'wuxia']",剑雨,"Set in ancient China, Zeng Jing is a skilled assassin who finds herself in possession of a mystical Buddhist monk's remains. She begins a quest to return the remains to its rightful resting place, and thus places herself in mortal danger because a team of assassins is in a deadly pursuit to possess the remains which holds an ancient power-wielding secret.",
The Lucky Ones,"['Tim Robbins', 'Rachel McAdams', 'Michael Peña', 'Kerry Bishé', 'Molly Hagan']",Neil Burger,"['Comedy', 'Drama', 'History']","['friendship', 'war', 'road trip', 'independent film', 'soldier']",The Lucky Ones,"The story revolves around three soldiers — Colee, T.K. and Cheaver — who return from the Iraq War after suffering injuries and learn that life has moved on without them. They end up on an unexpected road trip across the U.S.",
Margaret,"['Anna Paquin', 'Matt Damon', 'Mark Ruffalo', 'Matthew Broderick', 'Jeannie Berlin']",Kenneth Lonergan,['Drama'],"['new york', 'bus', 'nightmare', 'witness', 'investigation', 'police', 'truth', 'teacher', 'blood', 'student', 'relationship', 'family']",Margaret,"A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.",
Stan Helsing,"['Diora Baird', 'Leslie Nielsen', 'Steve Howey', 'Kenan Thompson', 'Tara Wilson']",Bo Zenga,"['Comedy', 'Horror']","['halloween', 'slapstick', 'duringcreditsstinger']",Stan Helsing,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",The most feared monsters in cinematic history have met their match...
Flipped,"['Madeline Carroll', 'Callan McAuliffe', 'Rebecca De Mornay', 'Anthony Edwards', 'John Mahoney']",Rob Reiner,"['Romance', 'Drama']","['shyness', 'based on novel', 'unrequited love', 'neighbor', 'family relationships', 'first crush', 'young love', 'opposites attract', 'adolescent boy', 'based on young adult novel']",Flipped,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",You never forget your first love.
Brokeback Mountain,"['Heath Ledger', 'Jake Gyllenhaal', 'Randy Quaid', 'Michelle Williams', 'Anne Hathaway']",Ang Lee,"['Drama', 'Romance']","['gay', 'countryside', 'homophobia', 'loss of lover', 'wyoming', 'rodeo', 'father murder', 'horseback riding', 'intolerance', 'daughter', 'marriage crisis', 'secret love', 'cowboy', 'star crossed lovers']",Brokeback Mountain,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,Love is a force of nature.
Clueless,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison']",Amy Heckerling,"['Comedy', 'Drama', 'Romance']","['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']",Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Sex. Clothes. Popularity. Is there a problem here?
Far from Heaven,"['Julianne Moore', 'Dennis Quaid', 'Dennis Haysbert', 'Patricia Clarkson', 'Viola Davis']",Todd Haynes,"['Drama', 'Romance']","['black people', 'wife husband relationship', 'botanist', 'homosexuality']",Far from Heaven,"In 1950s Connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world.",It's time to stop hiding from the truth.
Hot Tub Time Machine 2,"['Rob Corddry', 'Craig Robinson', 'Clark Duke', 'Adam Scott', 'Chevy Chase']",Steve Pink,['Comedy'],"['time travel', 'sequel', 'hot tub', 'duringcreditsstinger']",Hot Tub Time Machine 2,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",The Laws of Space and Time are About to be Violated.
Quills,"['Geoffrey Rush', 'Kate Winslet', 'Joaquin Phoenix', 'Michael Caine', 'Billie Whitelaw']",Philip Kaufman,['Drama'],"['asylum', 'french revolution', 'french', 'smuggling', 'maid']",Quills,"A nobleman with a literary flair, the Marquis de Sade lives in a madhouse where a beautiful laundry maid smuggles his erotic stories to a printer, defying orders from the asylum's resident priest. The titillating passages whip all of France into a sexual frenzy, until a fiercely conservative doctor tries to put an end to the fun.",There are no bad words... only bad deeds.
Seven Psychopaths,"['Colin Farrell', 'Sam Rockwell', 'Woody Harrelson', 'Christopher Walken', 'Tom Waits']",Martin McDonagh,"['Comedy', 'Crime']","['suicide', 'alcohol', 'sex', 'screenwriter', 'underworld', 'fight', 'kidnapping', 'party', 'murder', 'scam', 'los angeles', 'gangster', 'explosion', 'criminal', 'shih tzu', 'struggling']",Seven Psychopaths,A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.,They Won't Take Any Shih Tzu.
The Caveman's Valentine,"['Samuel L. Jackson', 'Colm Feore', 'Ann Magnuson', 'Aunjanue Ellis', 'Tamara Tunie']",Kasi Lemmons,"['Drama', 'Mystery', 'Thriller']",['woman director'],The Caveman's Valentine,"In this spine-tingling and visually stunning thriller, Academy AwardÂ®-nominee Samuel L. Jackson (Unbreakable, Shaft, Pulp Fiction delivers a ""full-throttle performance"" (People) as Romulus Ledbetter, a misunderstood musician turned recluse, hiding from personal demons in a New York City cave.  When Romulus finds the frozen body of a young drifter in a tree, the authorities - including his police officer daughter (Aunjanne Ellis) - claim the death is accidental. Romulus is convinced the man was murdered by prominent art photographer David Leppenraub (Colm Feore). But how can he prove he's right when everyone thinks he's insane?",
Downfall,"['Bruno Ganz', 'Alexandra Maria Lara', 'Corinna Harfouch', 'Ulrich Matthes', 'Juliane Köhler']",Oliver Hirschbiegel,"['Drama', 'History', 'War']","['berlin', 'poison', 'dictator', 'clerk', 'ideology', 'world war ii', 'traitor', 'despair', 'destroy', 'testament', 'capitulation', 'soviet troops', 'race politics', 'national socialism', 'adolf hitler', 'ultimate victory', 'minister', 'national socialist party', 'dying and death', 'historical figure', 'german shepherd']",Der Untergang,"In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.","April 1945, a nation awaits its...Downfall"
The Sea Inside,"['Javier Bardem', 'Belén Rueda', 'Lola Dueñas', 'Joan Dalmau', 'Josep Maria Pou']",Alejandro Amenábar,['Drama'],"['brother brother relationship', 'paraplegic', 'intensive care', 'ladykiller', 'wheelchair', 'dying and death', 'biography', 'galicia', 'bathing accident', 'freedom', 'romance', 'lawyer', 'sailor', 'euthanasia', 'dignity']",Mar adentro,"The Sea Inside is about Spaniard Ramón Sampedro, who fought a 30-year campaign to win the right to end his life with dignity. It is the story of Ramón’s relationships with two women: Julia a lawyer who supports his cause, and Rosa, a local woman who wants to convince him that life is worth living.",Sensitive Drama About a Polemic Theme
Under the Skin,"['Scarlett Johansson', 'Kryštof Hádek', 'Paul Brannigan', 'Michael Moreland', 'Scott Dymond']",Jonathan Glazer,"['Thriller', 'Science Fiction', 'Drama']","['male nudity', 'scotland', 'edinburgh', 'alien', 'very little dialogue']",Under the Skin,"Jonathan Glazer's atmospheric, visually arresting abstraction stars Scarlett Johansson as a seductive alien who prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool.",A mysterious seductress preys upon the population of Scotland
"Good Morning, Vietnam","['Robin Williams', 'Forest Whitaker', 'Tung Thanh Tran', 'Chintara Sukapatana', 'Bruno Kirby']",Barry Levinson,"['Comedy', 'Drama', 'War']","['rock and roll', 'radio station', 'war crimes', 'entertainer', 'explosive', 'cynic', 'radio', 'vietnam war', 'vietcong', 'gi', 'u.s. air force', 'dying and death', 'radio presenter', 'humor', 'saigon', 'provocation', 'right and justice']","Good Morning, Vietnam","Radio funny man Adrian Cronauer is sent to Vietnam to bring a little comedy back into the lives of the soldiers. After setting up shop, Cronauer delights the G.I.s but shocks his superior officer, Sergeant Major Dickerson, with his irreverent take on the war. While Dickerson attempts to censor Cronauer's broadcasts, Cronauer pursues a relationship with a Vietnamese girl named Trinh, who shows him the horrors of war first-hand.",Time to rock it from the Delta to the DMZ!
The Last Godfather,"['Harvey Keitel', 'Jason Mewes', 'Blake Clark', 'Jon Polito', 'Paul Hipp']",Shim Hyung-Rae,"['Action', 'Comedy', 'Thriller']",[],The Last Godfather,"Young-goo the son of mafia boss Don Carini, is too foolish to be part of the mafia elite. One day, Young-goo comes to his father and is trained by Tony V to be his father's successor. A few days later, Young-goo accidentally rescues Nancy, the only daughter of Don Bonfante, the boss of a rival mafia family. But Vinnie, an under-boss of the Bonfante family kidnapped her and fabricates that Young-goo has taken her. Vinnie's behavior provokes an armed conflict between the two families.",
Justin Bieber: Never Say Never,"['Justin Bieber', 'Miley Cyrus', 'Usher Raymond', 'Jaden Smith', 'Sean Kingston']",Jon M. Chu,"['Documentary', 'Music', 'Family']","['manager', 'canada', 'pop singer', 'star', 'prayer', 'music competition', 'tour bus', 'aftercreditsstinger', 'duringcreditsstinger', 'justin bieber']",Justin Bieber: Never Say Never,"Tells the story of Justin Bieber, the kid from Canada with the hair, the smile and the voice: It chronicles his unprecedented rise to fame, all the way from busking in the streets of Stratford, Canada to putting videos on YouTube to selling out Madison Square Garden in New York as the headline act during the My World Tour from 2010. It features Usher, Scooter Braun, Ludacris, Sean Kingston, Antonio ""L.A."" Reid, Boyz II Men, Miley Cyrus, Jaden Smith, Justin's family members and parts of his crew and huge fanbase in a mix of interviews and guest performances. It was released in 3D in theaters all around the world and is the highest grossing concert movie of all time, beating the previous record held by Michael Jackson's This Is It from 2009.",Find out what's possible if you never give up.
Black Swan,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel', 'Barbara Hershey', 'Winona Ryder']",Darren Aronofsky,"['Drama', 'Thriller']","['dancing', 'competition', 'sex', 'dancer', 'obsession', 'paranoia', 'insanity', 'suspense', 'ballet', 'new york city', 'heartbreak', 'mental illness', 'madness', 'swan lake', 'ballerina', 'body horror']",Black Swan,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.","In the era of personal branding, the scariest possibility is that someone might be better at being you than you are."
The Godfather: Part II,"['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'John Cazale']",Francis Ford Coppola,"['Drama', 'Crime']","['italo-american', 'cuba', 'vororte', 'melancholy', 'praise', 'revenge', 'mafia', 'lawyer', 'blood', 'corrupt politician', 'bloody body of child', 'man punches woman']",The Godfather: Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","I don't feel I have to wipe everybody out, Tom. Just my enemies."
Save the Last Dance,"['Julia Stiles', 'Sean Patrick Thomas', 'Kerry Washington', 'Fredro Starr', 'Terry Kinney']",Thomas Carter,"['Drama', 'Family', 'Romance', 'Music']","['ballet dancer', 'musical', 'ballet']",Save the Last Dance,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",The Only Person You Need To Be Is Yourself.
A Nightmare on Elm Street 4: The Dream Master,"['Robert Englund', 'Tuesday Knight', 'Ken Sagoes', 'Rodney Eastman', 'Lisa Wilcox']",Renny Harlin,"['Horror', 'Thriller']","['martial arts', 'nightmare', 'supernatural', 'high school', 'resurrection', 'sequel', 'diner', 'alcoholic', 'disfigurement', 'dreams']",A Nightmare on Elm Street 4: The Dream Master,"Dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills the remainder of the Elm Street kids. However, Kristen, who can draw others into her dreams, wills her special ability to her friend Alice. Alice soon realizes that Freddy is taking advantage of that unknown power to pull a new group of children into his foul domain.",Terror beyond your wildest dreams.
Miracles from Heaven,"['Jennifer Garner', 'Kylie Rogers', 'Martin Henderson', 'Brighton Sharbino', 'Courtney Fansler']",Patricia Riggen,['Drama'],"['miracle', 'christian', 'cure', 'woman director', 'accident']",Miracles from Heaven,A faith based movie. A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident. Based on the book 'Three Miracles From Heaven' by Christy Beam.,How do we explain the impossible?
"Dude, Where’s My Car?","['Ashton Kutcher', 'Seann William Scott', 'Kristy Swanson', 'Jennifer Garner', 'Marla Sokoloff']",Danny Leiner,['Comedy'],"['dude', 'amnesia', 'idiot', 'auto', 'friendship', 'cannabis', 'hangover', 'spoof', 'teenager', 'drug', 'alcohol abuse', 'celebration', 'car', 'duringcreditsstinger', 'child']","Dude, Where’s My Car?","Jesse and Chester, two bumbling stoners, wake up one morning from a night of partying and cannot remember where they parked their car. They encounter a variety of people while looking for it, including their angry girlfriends, an angry street gang, a transexual stripper, a cult of alien seeking fanatics, and aliens in human form looking for a mystical device that could save or destroy the world.","After a night they can't remember, comes a day they'll never forget."
Young Guns,"['Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Charlie Sheen', 'Dermot Mulroney']",Christopher Cain,"['Crime', 'Action', 'Adventure', 'Drama', 'Western']","['corruption', 'sheriff', 'deputy sheriff', 'ranch', 'billy the kid', 'outlaw', 'neighbor']",Young Guns,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",Six reasons why the west was wild.
St. Vincent,"['Bill Murray', 'Melissa McCarthy', 'Naomi Watts', 'Jaeden Lieberher', ""Chris O'Dowd""]",Theodore Melfi,['Comedy'],"['babysitter', 'friendship', 'neighbor', 'divorce', 'child of divorce']",St. Vincent,"A young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who lives next door.",Love Thy Neighbor
About Last Night,"['Kevin Hart', 'Michael Ealy', 'Regina Hall', 'Joy Bryant', 'Christopher McDonald']",Steve Pink,"['Comedy', 'Romance']",['duringcreditsstinger'],About Last Night,"A modern reimagining of the classic romantic comedy, this contemporary version closely follows new love for two couples as they journey from the bar to the bedroom and are eventually put to the test in the real world.",It's about compromise. It's about love. It's about a good wingman.
10 Things I Hate About You,"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt', 'Larisa Oleynik', 'David Krumholtz']",Gil Junger,"['Comedy', 'Romance', 'Drama']","['shakespeare', 'sister', 'high school', 'cannabis', 'deception', 'teen movie', 'shrew', 'archery', 'feel-good ending', 'opposites attract', 'duringcreditsstinger', 'teenage romance', 'play adaptation', 'overprotective father']",10 Things I Hate About You,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",How do I loathe thee? Let me count the ways.
The New Guy,"['DJ Qualls', 'Eliza Dushku', 'Zooey Deschanel', 'Lyle Lovett', 'Jerod Mixon']",Ed Decter,"['Comedy', 'Family']","['prison', 'dual identity', 'identity', 'loser', 'high school', 'los angeles', 'duringcreditsstinger']",The New Guy,"Nerdy high school senior Dizzy Harrison has finally gotten lucky -- after purposely getting expelled, he takes lessons in 'badass cool' from a convict and enrolls at a new school. But can he keep up the ruse?",A zero will rise.
National Lampoon's Loaded Weapon 1,"['Emilio Estevez', 'Samuel L. Jackson', 'Jon Lovitz', 'Tim Curry', 'Kathy Ireland']",Gene Quintano,['Comedy'],"['cocaine', 'police', 'spoof', 'los angeles']",National Lampoon's Loaded Weapon 1,"An LA detective is murdered because she has microfilm with the recipe to make cocaine cookies. A ""Lethal Weapon"" style cop team tries to find and stop the fiends before they can dope the nation by distributing their wares via the ""Wilderness Girls"" cookie drive.",See it before they make the sequel!
The Shallows,"['Blake Lively', 'Óscar Jaenada', 'Angelo Josue Lozano Corzo', 'José Manuel Trujillo Salas', 'Brett Cullen']",Jaume Collet-Serra,"['Horror', 'Drama', 'Thriller']","['mexico', 'beach', 'surfer', 'island', 'survival', 'young woman', 'shark', 'great white shark', 'trapped', 'animal attack', 'animal horror', 'prey']",The Shallows,"An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas.",What was once in the deep is now in the shallows.
The Butterfly Effect,"['Ashton Kutcher', 'Melora Walters', 'Amy Smart', 'Elden Henson', 'William Lee Scott']",Eric Bress,"['Science Fiction', 'Thriller']","['amnesia', 'chaos theory', 'blackout', 'time travel', 'flashback']",The Butterfly Effect,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.","Such minor changes, such huge consequences."
Snow Day,"['Chevy Chase', 'Chris Elliott', 'Jean Smart', 'Iggy Pop', 'Pam Grier']",Chris Koch,"['Comedy', 'Family']",[],Snow Day,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed..",Roads closed. Schools shut. Rules were made to be frozen!
This Christmas,"['Loretta Devine', 'Delroy Lindo', 'Idris Elba', 'Regina King', 'Laz Alonso']",Preston A. Whitmore II,"['Comedy', 'Drama']","['drama', 'family', 'family holiday', 'family feud']",This Christmas,"This year Christmas with the Whitfields promises to be one they will never forget. All the siblings have come home for the first time in years and they've brought plenty of baggage with them. As the Christmas tree is trimmed and the lights are hung, secrets are revealed and family bonds are tested. As their lives converge, they join together and help each other discover the true meaning of family.",You can't exchange family.
Baby Geniuses,"['Kathleen Turner', 'Christopher Lloyd', 'Kim Cattrall', 'Peter MacNicol', 'Dom DeLuise']",Bob Clark,"['Science Fiction', 'Comedy', 'Family']","['baby', 'genius', 'toddler', 'baby geniuses']",Baby Geniuses,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",Think innocent. Think helpless. Think again. Naps are history.
The Big Hit,"['Mark Wahlberg', 'Lou Diamond Phillips', 'Christina Applegate', 'China Chow', 'Avery Brooks']",Kirk Wong,"['Action', 'Adventure', 'Comedy', 'Thriller']","['bungee-jump', 'dark comedy', 'cigarette smoking', 'slow motion', 'video store', 'subtitled scene', 'kosher', 'stealing a car', 'movie poster', 'night vision goggles', 'suitcase full of money']",The Big Hit,"Affable hit man Melvin Smiley is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam.",Nothing's more dangerous than some nice guys... with a little time to kill.
Harriet the Spy,"['Michelle Trachtenberg', ""Rosie O'Donnell"", 'J. Smith-Cameron', 'Eartha Kitt', 'Vanessa Lee Chester']",Bronwen Hughes,"['Comedy', 'Drama', 'Family']","['spy', 'secret', 'nanny', 'notebook', 'binoculars', 'woman director']",Harriet the Spy,"When the secret notebook of a young girl who fancies herself a spy is found by her friends, her speculations make her very unpopular! Can she win her friends back?",On your case!
Child's Play 2,"['Alex Vincent', 'Jenny Agutter', 'Gerrit Graham', 'Christine Elise', 'Brad Dourif']",John Lafia,"['Drama', 'Horror']","['faithlessness', 'puppet', 'killer toys', 'toy comes to life']",Child's Play 2,"Chuckie's back as the doll possessed by the soul of a serial killer, butchering all who stand in his way of possessing the body of a boy.",Look out Jack! Chucky's back!
No Good Deed,"['Idris Elba', 'Taraji P. Henson', 'Leslie Bibb', 'Kate del Castillo', 'Henry Simmons']",Sam Miller,"['Crime', 'Thriller']","['sadistic', 'hostage', 'sociopath', 'serial killer', 'blood', 'escaped convict', 'murderer', 'home invasion', 'killer', 'deadly', 'escaped killer']",No Good Deed,"Terri is a devoted wife and mother of two, living an ideal suburban life in Atlanta when Colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. Terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family.",First he gets into your house. Then he gets into your head.
The Mist,"['Thomas Jane', 'Marcia Gay Harden', 'Laurie Holden', 'Andre Braugher', 'Toby Jones']",Frank Darabont,"['Science Fiction', 'Horror', 'Thriller']","['father son relationship', 'monster', 'supermarket', 'fight', 'artist', 'fog', 'bible', 'spider', 'survivor', 'faith', 'prayer', 'blood splatter', 'gore', 'giant monster', 'blood', 'anger', 'thunderstorm']",The Mist,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.","Belief divides them, mystery surrounds them, but fear changes everything."
Ex Machina,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac', 'Sonoya Mizuno', 'Corey Johnson']",Alex Garland,"['Drama', 'Science Fiction']","['dancing', 'artificial intelligence', 'distrust', 'isolation', 'technology', 'manipulation', 'friendship', 'deception', 'laboratory', 'robot', 'power outage', 'surveillance camera', 'consciousness', 'existentialism', 'lockdown', 'philosophical', 'robot human relationship', 'turing test', 'cybernetics']",Ex Machina,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",There is nothing more human than the will to survive
Being John Malkovich,"['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'Charlie Sheen', 'John Malkovich']",Spike Jonze,"['Fantasy', 'Drama', 'Comedy']","['individual', 'transvestism', 'sexual identity', 'witch', 'identity', 'subconsciousness', 'new identity', 'pet', 'chimp', 'puppeteer', 'appropriation of another human being', 'externally controlled action', 'married couple', 'brain', 'pet shop', 'door', 'secret love']",Being John Malkovich,"Spike Jonze’s debut feature film is a love story mix of comedy and fantasy. The story is about an unsuccessful puppeteer named Craig, who one day at work finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it’s mad and controlling world of overtaking another human body.",Ever wanted to be someone else? Now you can.
Two Can Play That Game,"['Vivica A. Fox', 'Morris Chestnut', 'Anthony Anderson', 'Gabrielle Union', 'Wendy Raquel Robinson']",Mark Brown,"['Comedy', 'Romance']",[],Two Can Play That Game,"Vivica A. Fox sizzles as a woman scorned who plans to get her man back by any means necessary. In this comedy about players and those who ""get played."" As corporate overachiever and all-around fly chick Shanté Smith, Fox thinks she's got the goods to keep her slickster boyfriend (Morris Chestnut) from straying - until he discovers a greener pasture, Shanté's archrival (Gabrielle Union)",
Earth to Echo,"['Teo Halm', 'Astro', 'Resse Hartwig', 'Ella Wahlestedt', 'Jason Gray-Stanford']",Dave Green,"['Family', 'Adventure', 'Science Fiction']","['alien', 'found footage']",Earth to Echo,"After a construction project begins digging in their neighborhood, best friends Tuck, Munch and Alex inexplicably begin to receive strange, encoded messages on their cell phones. Convinced something bigger is going on, they go to their parents and the authorities. When everyone around them refuses to take the messages seriously, the three embark on a secret adventure to crack the code and follow it to its source. But taking matters into their own hands gets the trio in way over their heads when they discover a mysterious being from another world who desperately needs their help. The epic, suspenseful and exciting journey that follows will change all of their lives forever.",No one will ever believe our story.
Crazy/Beautiful,"['Kirsten Dunst', 'Jay Hernandez', 'Bruce Davison', 'Herman Osorio', 'Miguel Castro']",John Stockwell,"['Drama', 'Romance']","['lovesickness', 'jealousy', 'parents kids relationship', ""love of one's life"", 'cutting the cord', 'forbidden love', 'kiss', 'crush', 'teenage crush', 'relationship', 'unhappiness']",Crazy/Beautiful,"At Pacific Palisades High, a poor Latino falls hard for a troubled girl from the affluent neighborhood.",When it's real. When it's right. Don't let anything stand in your way.
Letters from Iwo Jima,"['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryo Kase', 'Shidou Nakamura']",Clint Eastwood,"['Action', 'Adventure', 'Drama', 'War']","['world war ii', 'cave', 'dying and death', 'pacific theater', 'japanese army', 'imperial japan']",Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",The battle of Iwo Jima seen through the eyes of the Japanese soldiers.
The Astronaut Farmer,"['Billy Bob Thornton', 'Virginia Madsen', 'Max Thieriot', 'Jasper Polish', 'Logan Polish']",Michael Polish,"['Adventure', 'Comedy', 'Drama', 'Science Fiction']","['nasa', 'texas', 'dream', 'fbi', 'bankrupt', 'peasant', 'earth', 'farm', 'insanity', 'rocket', ""life's dream"", 'spinner', 'space', 'independent film', 'astronaut', 'family']",The Astronaut Farmer,"Texan Charles Farmer left the Air Force as a young man to save the family ranch when his dad died. Like most American ranchers, he owes his bank. Unlike most, he's an astrophysicist with a rocket in his barn - one he's built and wants to take into space. It's his dream. The FBI puts him under surveillance when he tries to buy rocket fuel, and the FAA stalls him when he files a flight plan – but Charles is undeterred.",
